id,timing,priority,target,condition,cond_option,effect,effect_option
-4,on_before_attack,-1,pet,none,none,escape,none
-1,none,-1,none,none,none,none,none
10001,none,-1,none,none,none,none,none
10002,on_final_dmg_cal\on_before_attack,900\-1,skill\skill,status\status,status_type=5&op=<&cmp_value=1/4\status_type=5&op=<&cmp_value=1/4,set_damage\set_skill,op=+&value=30\type=accuracy&op=+&value=1000
10003,on_after_attack,-1,pet,none,none,powerup,who=op&atk=-1
10004,on_after_attack,-1,pet,none,none,add_buff,who=op&id=3000&value=1
10005,on_after_dmg_cal\on_before_attack\on_after_attack,-1\-1\-1,skill\skill\pet,status\buff\buff,status_type=5&op=<&cmp_value=1/4\who=op&id=3000\who=op&id=3000,set_damage\set_skill\remove_buff,op=*&value=5/4\type=critical&op=+&value=op.pet.buff[3000].value*45\who=op&id=3000
10006,on_after_attack,-1,pet,none,none,powerup,who=op&mat=-1
10007,on_after_attack,-1,pet,none,none,rage,who=op&add=-20
10008,on_after_dmg_cal\on_before_attack\on_after_attack,-1\-1\-1,skill\skill\pet,status\buff\buff,status_type=5&op=<&cmp_value=1/4\who=op&id=3000\who=op&id=3000,set_damage\set_skill\remove_buff,op=*&value=5/4\type=combo&op=+&value=op.pet.buff[3000].value\who=op&id=3000
10009,on_after_attack,-1,pet,none,none,powerup,def=1&mdf=1
10010,on_after_attack\on_after_attack,-1\-1,pet\pet,unit\unit,type=op.pet.powerup.atk&type[0].op=<&type[0].cmp=0\type=op.pet.powerup.mat&type[0].op=<&type[0].cmp=0,powerup\powerup,who=op&def=-1\who=op&mdf=-1
10011,on_after_dmg_cal\on_before_attack\on_after_attack,-1\-1\-1,skill\skill\pet,status\buff\buff,status_type=5&op=<&cmp_value=1/4\who=op&id=3000\who=op&id=3000,set_damage\set_skill\remove_buff,op=*&value=5/4\type=power&op=+&value=op.pet.buff[3000].value*50\who=op&id=3000
10012,on_after_attack,-1,pet,none,none,add_buff,id=16&turn=5&val=50
10013,on_after_attack,-1,pet,none,none,add_buff,who=op&id=1000
10014,on_after_attack,-1,pet,none,none,add_buff,who=op&id=3013&turn=5
10015,on_after_attack,-1,pet,none,none,add_buff,who=op&id=1000
10016,on_after_attack,-1,pet,none,none,add_buff,who=op&id=3000&value=2
10017,on_before_attack,-1,skill,none,none,set_skill,type=combo&op=SET&value=3
10018,none,-1,none,none,none,none,none
10019,on_final_dmg_cal\on_before_attack,900\-1,skill\skill,status\status,status_type=5&op=<&cmp_value=1/4\status_type=5&op=<&cmp_value=1/4,set_damage\set_skill,op=+&value=30\type=accuracy&op=+&value=1000
10020,on_after_attack,-1,pet,none,none,powerup,atk=1
10021,on_after_attack,-1,pet,none,none,add_buff,who=op&id=3001
10022,on_after_attack,-1,pet,none,random_cmp=10,add_buff,who=op&id=1001
10023,on_after_attack,-1,pet,none,none,powerup,spd=1
10024,on_after_attack,-1,pet,none,none,add_buff,id=3014
10025,on_after_attack,-1,pet,none,none,add_buff,id=3015
10026,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,is_hit=true\is_hit=false,add_buff\add_buff,who=op&id=1001\who=op&id=1011
10027,on_final_dmg_cal,100,skill,none,none,set_damage,op=[MAX]&value=100
10028,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,none\none,heal\rage,add=-me.pet.status.hp*1/6\add=35
10029,on_after_attack,-1,pet,none,random_cmp=10,powerup,who=op&def=-1
10030,on_final_dmg_cal,-1,skill,none,none,set_damage,op=[MAX]&value=power
10031,on_after_attack,-1,pet,none,none,add_buff,id=3016
10032,on_before_attack,-1,skill,status,status_type=5&op=<&cmp_value=1/4,set_skill,type=power&op=*&value=4
10033,on_after_attack,-1,pet,none,none,add_buff,id=3017
10034,none,-1,none,none,none,none,none
10035,on_final_dmg_cal\on_before_attack\on_before_attack,900\-1\-1,skill\skill\skill,status\status\none,status_type=5&op=<&cmp_value=1/4\status_type=5&op=<&cmp_value=1/4\none,set_damage\set_skill\set_skill,op=+&value=30\type=accuracy&op=+&value=1000\type=combo&op=SET&value=random[2~3]
10036,on_after_attack,-1,pet,none,none,heal,add=me.pet.status.maxHp*1/4
10037,on_after_attack,-1,pet,none,none,add_buff,id=3019&value=4
10038,on_before_attack\on_after_attack,-1\-1,skill\pet,buff\buff,id=3019\id=3019,set_skill\remove_buff,type=power&op=+&value=me.pet.buff[3019].value*25\id=3019
10039,on_after_attack,-1,pet,none,none,powerup,who=op&atk=-1&mat=-1
10040,on_before_attack,-1,skill,none,none,set_skill,type=combo&op=SET&value=random[3~5]
10041,on_after_attack,-1,pet,none,none,add_buff,who=op&id=1007
10042,on_after_attack\on_after_attack,-1\0,pet\pet,buff\buff,id=3019\id=3019,heal\remove_buff,add=me.pet.buff[3019].value*me.skill.damage/4\id=3019
10043,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,none\none,remove_buff\remove_buff,who=op&id=1/3/5/7/9\id=2/4/6/8/10
10044,on_after_attack,-1,pet,none,none,add_buff,who=op&id=1004&turn=3&value=30
10045,on_after_attack,-1,pet,none,none,add_buff,who=op&id=3020&turn=-1
10046,on_after_attack,-1,pet,none,none,add_buff,id=3018
10047,on_after_attack,-1,pet,none,none,heal,who=op&add=-100
10048,on_after_attack,-1,pet,none,none,add_buff,who=op&id=3002
10049,on_after_attack\on_after_attack,-1\0,pet\pet,buff\buff,id=3019\id=3019,set_buff\remove_buff,who=op&id=3002&type=turn&op=SET&value=1\id=3019
10050,none,-1,none,none,none,none,none
10051,on_after_attack,-1000,pet,status,who=op&status_type=5&cmp_value=0,heal,who=op&set=1
10052,none,-1,none,none,none,none,none
